label_main_id,name,width,height,cell_spacing,left_margin,top_margin,bottom_margin,right_margin
AveryA4,C2050 Vidio Face,78.7,46.5,0.1,0.98,0.34,,
AveryA4,C2050 Vidio Spine,147.3,20.1,0,1.23,0.73,,
AveryA4,C2050 Transfer Film For Mouse Pad,210.1,296.9,0,0,0,,
AveryA4,C2080 Transfer Film For Puzzle,245.1,169.9,0,1.02,0.79,,
AveryA4,C2090 T-Shift Transfer Set,210.1,296.9,0,0,0,,
AveryA4,C2160 Avery Inkjet Label,63.5,38.1,0.1,0.28,0.6,,
AveryA4,C2163 Avery Inkjet Label,99.1,38.1,0.1,0.18,0.6,,
AveryA4,C2165 Large Labels,99.1,67.8,0.1,0.18,0.51,,
AveryA4,C2166 Avery 3.5” Disk Label(Face only),70.1,52.1,0.24,1.26,1.32,,
AveryA4,C2241 Avery Ractangle Sticker,76.2,31.8,0.2,1.03,1.47,,
AveryA4,C2243 Avery Small Round Sticker,38.1,38.1,0.18,0.87,1.1,,
AveryA4,C2244 Avery Big Round Sticker,71.9,71.9,0.27,1.17,1.33,,
AveryA4,C2246 Avery Full Page Sticker,210.1,296.9,0,0,0,,
AveryA4,C2265 Disk Labels,70.1,50.8,0.78,0.98,0.84,,
AveryA4,C2341 Embossed Cards A5 (Cover),108.5,169.9,0,6.63,0.79,,
AveryA4,C2341 Embossed Cards A5 (Inside),148.6,210.1,0,5.85,0,,
AveryA4,C2342 Embossed Cards A6 (Coverl),77.0,120.4,0,4.68,0.55,,
AveryA4,C2342 Embossed Cards A6 (Inside),104.9,148.6,0,4.13,0,,
AveryA4,C2351 Avery A5 Greeting Card,148.6,210.1,0,0,0,,
AveryA4,C2352 Avery A6 Greeting Card,104.9,148.6,0,0,0,,
AveryA4,C2353 Avery Postcard,146.6,110.5,0,1.25,1.25,,
AveryA4,C2354 Avery Biz Card,80.3,50.8,0.19,0.89,1.35,,
AveryA4,C2355 Avery Note Cards,82.5,120.6,0,0.88,1,,
AveryA4,C2356 Avery Full Page Card,210.1,296.9,0,0,0,,
AveryA4,C2357 Compliment Cards,210.1,99.1,0,0,0,,
AveryA4,C2361 Greeting Cards (A6),104.9,148.1,0,0,0,,
AveryA4,C2364 Marbled Business Cards,85.1,54.1,0.39,0.59,0.53,,
AveryA4,C2365 Marbled Business Cards,85.1,54.1,0.39,0.59,0.53,,
AveryA4,C2366 Marbled Business Cards,85.1,54.1,0.39,0.59,0.53,,
AveryA4,C2367 Marbled Business Cards,85.1,54.1,0.39,0.59,0.53,,
AveryA4,C2370 A4 Coated Paper-110gsm,210.1,296.9,0,0,0,,
AveryA4,C2371 A4 Coated Paper-160gsm,210.1,296.9,0,0,0,,
AveryA4,C2374 Marbled Paper,210.1,296.9,0,0,0,,
AveryA4,C2375 Marbled Paper,210.1,296.9,0,0,0,,
